"farmer_ID","shop_ID","knows_dealer","bought_at_dealer","duration_customer","knows_other_customer","refunds","gives_credit","gives_advice","delivers","after_sales_service","payment_mehtods","small_quant","catchID"
"F_2222","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1921","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2230","AD_6","Yes","Yes","2018-02-01","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","97"
"F_1927","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1924","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2225","AD_6","Yes","No","n/a","Yes","98","98","Yes","No","No","98","Yes","97"
"F_2346","AD_12","Yes","Yes","2019-02-01","n/a","No","No","No","98","No","98","Yes","64"
"F_2224","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1925","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2992","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2347","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1928","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1922","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_3047","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1926","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_3046","AD_6","Yes","Yes","2020-02-01","n/a","No","98","Yes","No","98","Yes","Yes","97"
"F_2221","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2994","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2228","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2348","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2349","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_1930","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2226","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1929","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_1923","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_3000","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3042","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2227","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2991","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3041","AD_6","Yes","Yes","2020-02-01","n/a","No","No","Yes","No","No","No","Yes","97"
"F_2350","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2229","AD_6","Yes","No","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","97"
"F_3043","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2223","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_3048","AD_6","Yes","Yes","2020-02-01","n/a","No","No","98","98","98","98","Yes","97"
"F_2344","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2998","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2993","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3045","AD_6","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_2997","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2995","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3312","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3320","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_3049","AD_6","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","97"
"F_3319","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2996","AD_12","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
"F_2999","AD_12","Yes","No","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","64"
