"catchID","date","q0","maize.q1","maize.q2","maize.owner.consent","maize.owner.agree.age","maize.owner.agree.gender","maize.owner.agree.educ","maize.owner.agree.ownership","maize.owner.agree.knw","maize.owner.agree.q3","maize.owner.agree.q4","maize.owner.agree.q5","maize.owner.agree.q6","maize.owner.agree.q7","maize.owner.agree.q8","maize.owner.agree.q9.a","maize.owner.agree.q9.b","maize.owner.agree.q9.d","maize.owner.agree.q9.e","maize.owner.agree.q9.96","maize.owner.agree.q10","maize.owner.agree.q11","maize.owner.agree.train_ISSD","maize.owner.agree.q12","maize.owner.agree.nr_var","maize.owner.agree.q19","maize.owner.agree.q20","maize.owner.agree.long10h.q21","maize.owner.agree.long10h.q22","maize.owner.agree.long10h.q23","maize.owner.agree.long10h.q24","maize.owner.agree.long10h.carry","maize.owner.agree.long10h.q25","maize.owner.agree.long10h.q26","maize.owner.agree.long10h.sold","maize.owner.agree.long10h.q27","maize.owner.agree.long10h.q29","maize.owner.agree.long10h.q30","maize.owner.agree.long10h.q31","maize.owner.agree.q32","maize.owner.agree.longe7h.q33","maize.owner.agree.longe7h.q34","maize.owner.agree.longe7h.q35","maize.owner.agree.longe7h.q36","maize.owner.agree.longe7h.carry2","maize.owner.agree.longe7h.q37","maize.owner.agree.longe7h.q38","maize.owner.agree.longe7h.sold2","maize.owner.agree.longe7h.q39","maize.owner.agree.longe7h.q41","maize.owner.agree.longe7h.q42","maize.owner.agree.longe7h.q43","maize.owner.agree.q44","maize.owner.agree.q45","maize.owner.agree.longe5.q46","maize.owner.agree.longe5.q47","maize.owner.agree.longe5.q48","maize.owner.agree.longe5.q49","maize.owner.agree.longe5.carry3","maize.owner.agree.longe5.q50","maize.owner.agree.longe5.q51","maize.owner.agree.longe5.sold3","maize.owner.agree.longe5.q52","maize.owner.agree.longe5.q54","maize.owner.agree.longe5.q55","maize.owner.agree.longe5.q56","maize.owner.agree.q57","maize.owner.agree.longe4.q58","maize.owner.agree.longe4.q59","maize.owner.agree.longe4.q60","maize.owner.agree.longe4.q61","maize.owner.agree.longe4.carry4","maize.owner.agree.longe4.q62","maize.owner.agree.longe4.q63","maize.owner.agree.longe4.sold4","maize.owner.agree.longe4.q64","maize.owner.agree.longe4.q66","maize.owner.agree.longe4.q67","maize.owner.agree.longe4.q68","maize.owner.agree.temp.q69","maize.owner.agree.temp.q71","maize.owner.agree.temp.q72","maize.owner.agree.temp.q73","maize.owner.agree.temp.q74","maize.owner.agree.temp.q75","maize.owner.agree.temp.q76","maize.owner.agree.temp.q77","maize.owner.agree.temp.q78","maize.owner.agree.temp.q79","maize.owner.agree.temp.q80","maize.owner.agree.temp.q81","maize.owner.agree.temp.q82","maize.owner.agree.q83.a","maize.owner.agree.q83.b","maize.owner.agree.q83.c","maize.owner.agree.q83.d","maize.owner.agree.q83.e","maize.owner.agree.q83.f","maize.owner.agree.q83.g","maize.owner.agree.q83.96","maize.owner.agree.q84","maize.owner.agree.other_q84","maize.owner.agree.q85","maize.owner.agree.q86","maize.owner.agree.q87","maize.owner.agree.q88","maize.owner.agree.q89","maize.owner.agree.q90","maize.owner.agree.q91","maize.owner.agree.q92","maize.owner.agree.q93","maize.owner.agree.q94","maize.owner.agree.q95","maize.owner.agree.q96","maize.owner.agree.q96b","maize.owner.agree.q97.a","maize.owner.agree.q97.b","maize.owner.agree.q97.c","maize.owner.agree.q97.d","maize.owner.agree.q97.96","maize.owner.agree.q98","maize.owner.agree.q99","maize.owner.agree.q100","maize.owner.agree.q101","maize.owner.agree.q102","maize.owner.agree.q103","maize.owner.agree.skill.q104","maize.owner.agree.skill.q105","maize.owner.agree.skill.q106","maize.owner.agree.skill.q107","maize.owner.agree.skill.q108","maize.owner.agree.skill.q109","maize.owner.agree.skill.q110","maize.owner.agree.skill.q111","maize.owner.agree.skill.q112","maize.owner.agree.skill.q113","maize.owner.agree.inspection.q114","maize.owner.agree.inspection.q115","maize.owner.agree.inspection.q116","maize.owner.agree.inspection.q117","maize.owner.agree.inspection.q118","maize.owner.agree.inspection.q119","maize.owner.agree.inspection.q120","maize.owner.agree.inspection.q121","maize.owner.agree.inspection.q122","maize.owner.agree.q70","maize.owner.agree._gps_altitude","maize.owner.agree._gps_precision","reading","exp","date_pack","origin","cert","lot","verif","variety","other_var","company","age","shop_ID","treat","training","clearing","farmer","distID"
1,"2020-10-01","Yes","Yes","n/a","Yes",15,"Male","f","Yes","Yes",10,0,"Yes",10,6,"2011-01-01","False","True","True","True","False","Yes","No","n/a","Yes",2,2,"Yes","0.0","50","a","5000","50","50","6000","0","n/a","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","Yes","No","Yes","No","Yes","Cement",1,4,"No","No",5,"True","False","False","False","False","False","False","False","d","n/a","c","c",1,"Yes","2","c","n/a","n/a",2,"5","3","No","n/a","True","True","True","False","False","b",5,4,5,4,5,"b","a","c","b","b","b","a","b","88","88","Yes","Yes","Yes",2,"No","No","No","No","No",27,1146.13292591339,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_1",3,FALSE,FALSE,"TRUE",3
1,"n/a","Yes","Yes","n/a","Yes",50,"Female","d","Yes","No",6,0,"Yes",20,15,"1990-01-01","False","True","True","True","False","Yes","No","n/a","Yes",5,2,"Yes","0.0","40","b","5000","40","34","6000","6","0.0","Yes","1","2","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","30","a","2000","30","28","3000","2","0.0","Yes","2","4","Yes","0.0","20","a","2000","20","20","3000","0","n/a","No","n/a","n/a","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Cement",2,5,"No","Yes",2,"True","False","False","False","False","False","False","False","c","n/a","c","c",3,"No","2","c","n/a","n/a",2,"5","4","No","n/a","True","False","False","False","False","c",5,5,5,3,5,"a","88","b","c","c","c","88","b","a","c","Yes","Yes","Yes",0,"No","No","No","No","No",24,1192.68397633311,10,12.4,"n/a","2020-08-13","Yes","No","No","No","96","Bazooka",1,49,"AD_313",3,FALSE,FALSE,"FALSE",6
1,"2020-10-01","Yes","Yes","n/a","Yes",32,"Male","f","Yes","No",10,0,"Yes",30,20,"2011-01-01","False","True","True","True","True","Yes","Yes","Yes","No",4,1,"Yes","0.0","1000","b","5000","1000","950","6000","50","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","500","b","2500","500","400","3000","100","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","No","Yes","Yes","Yes","Yes","Cement",2,5,"No","Yes",4,"True","False","False","False","False","False","False","False","c","n/a","c","c",3,"No","2","b","No","No",2,"5","0","Yes","f","True","False","False","False","False","b",4,5,5,5,5,"b","a","b","a","c","c","b","a","a","b","Yes","Yes","Yes",0,"No","No","No","No","No",22,1178.05171024096,10,12.9,"n/a","2020-08-14","Yes","No","No","No","10H","n/a",1,48,"AD_212",3,FALSE,FALSE,"FALSE",6
1,"2020-10-01","Yes","Yes","n/a","Yes",22,"Female","d","No","Yes",12,0,"Yes",25,20,"2016-01-01","False","True","True","True","False","No","n/a","n/a","Yes",2,2,"Yes","0.0","50","b","5000","50","49","6000","1","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","Yes","No","Yes","No","Yes","Cement",1,4,"No","No",4,"False","False","False","False","True","False","False","False","c","n/a","c","c",1,"Yes","1","c","n/a","n/a",1,"n/a","n/a","Yes","f","True","False","False","False","False","b",5,3,5,4,5,"88","a","88","b","b","b","88","c","88","88","98","Yes","98",1,"Yes","No","No","No","No",23,1166.53939444813,10,12.2,"n/a","2020-08-20","No","No","No","No","10H","n/a",1,42,"AD_49",3,FALSE,FALSE,"TRUE",6
1,"2020-10-01","Yes","Yes","n/a","Yes",57,"Male","a","Yes","Yes",5,0,"Yes",20,5,"2016-01-01","False","False","True","True","False","Yes","No","n/a","Yes",3,1,"Yes","0.0","50","a","5000","50","50","6000","0","n/a","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","25","a","2500","25","22","3500","3","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","No","No","No","Yes","Yes","Cement",2,96,"Yes","Yes",3,"True","False","False","False","False","False","False","False","c","n/a","b","b",2,"No","1","b","No","Yes",1,"n/a","n/a","No","n/a","True","False","False","False","False","a",4,4,4,4,4,"b","c","c","a","c","b","a","b","c","c","No","Yes","Yes",2,"No","No","No","No","No",24,1166.02095702011,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_331",3,FALSE,FALSE,"TRUE",6
2,"2020-09-28","Yes","Yes","n/a","Yes",18,"Female","d","No","No",10,0,"Yes",20,5,"2010-01-01","False","True","True","True","False","No","n/a","n/a","Yes",3,1,"Yes","0.0","40","a","5500","40","40","6000","0","n/a","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","10","a","2500","10","10","3000","0","n/a","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","No","No","Yes","Yes","Yes","Yes","Cement",2,5,"No","No",4,"True","False","False","False","False","False","False","False","c","n/a","b","b",1,"No","1","c","n/a","n/a",2,"6","3","Yes","e","True","False","False","False","False","b",5,3,2,3,5,"b","88","c","b","c","c","b","a","a","b","No","Yes","No",1,"Yes","No","No","No","No",24.2,1101.54245111942,10,12.6,"2021-02-15","2020-03-15","Yes","No","Yes","No","96","Bazooka",1,199.958333333333,"AD_10",3,FALSE,FALSE,"TRUE",5
2,"2020-09-28","Yes","Yes","n/a","Yes",27,"Male","d","No","No",6,0,"Yes",200,40,"2018-01-01","False","True","True","True","False","Yes","Yes","No","Yes",2,2,"Yes","0.0","50","b","5000","50","50","6000","0","n/a","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","120","b","2300","120","120","3000","0","n/a","Yes","3","14","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","No","No","Yes","No","Yes","No","Cement",2,3,"No","Yes",5,"False","True","False","False","False","False","False","False","c","n/a","c","c",1,"No","1","c","n/a","n/a",2,"7","0","Yes","f","True","False","False","False","False","a",5,5,4,4,5,"b","88","c","b","c","c","b","a","a","a","Yes","Yes","Yes",2,"Yes","No","No","No","No",23,1092.04143911321,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AD_147",3,FALSE,FALSE,"FALSE",5
2,"2020-09-28","Yes","Yes","n/a","Yes",27,"Male","f","Yes","No",12,0,"No",15,10,"2020-01-01","False","True","True","True","True","No","n/a","n/a","Yes",4,4,"Yes","0.0","30","a","5000","30","30","6000","0","n/a","Yes","4","999","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","250","a","2500","250","250","3000","0","n/a","Yes","2","4","Yes","0.0","250","a","2500","250","230","3000","20","0.0","Yes","2","5","No","No","Yes","Yes","Yes","Yes","Yes","Cement",2,5,"No","No",5,"True","False","False","False","False","False","False","False","a","n/a","c","c",3,"Yes","1","b","No","Yes",1,"n/a","n/a","No","n/a","True","True","False","False","False","a",4,4,5,5,5,"b","a","88","c","c","c","b","b","a","88","No","No","No",1,"No","No","No","No","No",26.6,1116.62537230905,10,11.4,"n/a","n/a","Yes","No","No","No","long4","n/a",4,NA,"AD_140",3,FALSE,FALSE,"FALSE",5
2,"2020-09-28","Yes","Yes","n/a","Yes",32,"Female","c","No","Yes",5,0,"No",20,20,"2009-01-01","False","True","True","True","False","No","n/a","n/a","Yes",4,2,"Yes","0.0","100","a","4700","100","100","5500","0","n/a","Yes","4","999","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,"Yes","0.0","500","a","2600","500","494","3000","6","0.0","No","n/a","n/a","Yes","0.0","100","a","2600","100","100","3000","0","n/a","Yes","4","999","No","Yes","Yes","Yes","Yes","Yes","Yes","Cement",1,5,"No","No",3,"True","False","False","False","False","False","False","False","a","n/a","c","c",3,"Yes","1","b","Yes","Yes",2,"5","2","Yes","e","True","True","False","False","False","a",5,4,5,2,5,"a","88","88","c","c","88","b","a","88","88","Yes","Yes","Yes",0,"No","No","No","No","No",27.1,1088.90933838456,10,14.1,"n/a","2020-07-14","Yes","Yes","Yes","No","long5","n/a",12,79,"AD_203",3,FALSE,FALSE,"FALSE",5
2,"2020-09-28","Yes","Yes","n/a","Yes",70,"Male","d","Yes","Yes",12,0.1,"Yes",30,30,"2020-01-01","False","True","True","True","False","No","n/a","n/a","Yes",1,0,"No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"Yes","0.0","20","a","2500","20","14","3500","6","0.0","No","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","No","No","No","Yes","Yes","Yes","Cement",2,5,"No","No",3,"False","False","True","False","False","False","False","False","d","n/a","b","b",2,"Yes","1","c","n/a","n/a",1,"n/a","n/a","Yes","e","True","False","False","False","False","a",2,3,2,2,3,"88","88","b","c","c","88","b","a","88","a","No","No","No",1,"No","No","No","No","No",27.5,1083.05934737306,10,16.1,"n/a","2020-07-14","Yes","No","Yes","No","long5","n/a",12,79,"AD_339",3,FALSE,FALSE,"FALSE",5
