"shop_ID","catchID","quality_rating","general","yield","drought_resistent","disease_resistent","early_maturing","germination","nr_reviews","quality_rating_av","general_av","yield_av","drought_resistent_av","disease_resistent_av","early_maturing_av","germination_av","score","score_corrected"
"AD_100",3,3.5,4,3.5,2,2,3.5,3,2,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.07142857142857,3.07142857142857
"AD_102",5,5,4,4,4,4,4,4,1,4.19326923076923,3.72115384615385,3.96057692307692,3.29903846153846,2.86538461538462,4,4.00480769230769,4.14285714285714,4.14285714285714
"AD_104",7,3.77777777777778,3.55555555555556,3.55555555555556,3,2.55555555555556,3.66666666666667,3.66666666666667,9,3.55555555555556,3.71111111111111,3.66111111111111,2.45,2.01111111111111,3.93333333333333,3.68333333333333,3.3968253968254,3.3968253968254
"AD_106",9,4.25,3.75,3.33333333333333,3,2,3.66666666666667,3.75,4,4.00238095238095,3.58765432098765,3.54753086419753,3.02222222222222,2.37962962962963,3.60987654320988,3.57257495590829,3.39285714285714,3.39285714285714
"AD_108",3,4,4,4,3,2,4,4,2,3.82511874699375,3.82543590668591,3.58539562289562,3.00410052910053,2.27758537758538,3.92079789119263,3.69393939393939,3.57142857142857,3.46896983310148
"AD_109",11,NA,NA,NA,NA,NA,NA,NA,0,4.2,4.55,3.35,2.85,2.4,3.65,4,NA,NA
"AD_110",13,5,4,4,3.5,2.5,4,4,2,5,4,4,3.5,2.5,4,4,3.85714285714286,3.75468411881577
"AD_113",15,4.25,4.5,4,3.75,1.33333333333333,3.66666666666667,4.75,4,4.20833333333333,4.5,3.9,3.675,2,3.73333333333333,4.375,3.75,3.75
"AD_116",7,3,4,4,2,1,4,4,1,3.55555555555556,3.71111111111111,3.66111111111111,2.45,2.01111111111111,3.93333333333333,3.68333333333333,3.14285714285714,3.14285714285714
"AD_119",20,4.33333333333333,4,4.16666666666667,3.83333333333333,2.5,3.66666666666667,3.16666666666667,6,4.01388888888889,4.05555555555556,3.95833333333333,3.29166666666667,2.33333333333333,3.78055555555556,3.84722222222222,3.66666666666667,3.56420792833958
"AD_120",21,3.66666666666667,3.83333333333333,3.66666666666667,3.4,1.83333333333333,3.5,4,6,3.73555555555556,3.61888888888889,3.63,3.26888888888889,2.04444444444444,3.71111111111111,3.68444444444444,3.41428571428571,3.31182697595862
"AD_122",23,4.5,3.83333333333333,3.5,3.16666666666667,3,3.83333333333333,3.66666666666667,6,4.06716149347728,3.91367521367521,3.46143790849673,3.00686274509804,2.76895424836601,3.76535947712418,3.56274509803922,3.64285714285714,3.64285714285714
"AD_123",24,5,4,4,3.5,2.5,3.5,3.5,2,4.4375,4,3.9375,3.39285714285714,2.5,3.75,3.625,3.71428571428571,3.61182697595862
"AD_124",15,4.16666666666667,4.5,3.8,3.6,2.66666666666667,3.8,4,6,4.20833333333333,4.5,3.9,3.675,2,3.73333333333333,4.375,3.79047619047619,3.6880174521491
