catchID,shop_ID,treat,training,clearing,farmer
1,AD_1,3,FALSE,FALSE,TRUE
1,AD_313,3,FALSE,FALSE,FALSE
1,AD_212,3,FALSE,FALSE,FALSE
1,AD_49,3,FALSE,FALSE,TRUE
1,AD_331,3,FALSE,FALSE,TRUE
2,AD_10,3,FALSE,FALSE,TRUE
2,AD_147,3,FALSE,FALSE,FALSE
2,AD_140,3,FALSE,FALSE,FALSE
2,AD_203,3,FALSE,FALSE,FALSE
2,AD_339,3,FALSE,FALSE,FALSE
3,AD_264,4,FALSE,TRUE,TRUE
3,AD_137,4,FALSE,TRUE,TRUE
3,AD_249,4,FALSE,TRUE,FALSE
3,AD_47,4,FALSE,TRUE,TRUE
3,AD_57,4,FALSE,TRUE,TRUE
3,AD_148,4,FALSE,TRUE,TRUE
3,AD_128,4,FALSE,TRUE,TRUE
3,AD_329,4,FALSE,TRUE,FALSE
3,AD_100,4,FALSE,TRUE,TRUE
3,AD_94,4,FALSE,TRUE,FALSE
3,AD_296,4,FALSE,TRUE,TRUE
3,AD_246,4,FALSE,TRUE,FALSE
3,AD_108,4,FALSE,TRUE,FALSE
4,AD_227,1,TRUE,FALSE,FALSE
4,AD_101,1,TRUE,FALSE,FALSE
5,AD_250,4,FALSE,TRUE,FALSE
5,AD_190,4,FALSE,TRUE,FALSE
5,AD_102,4,FALSE,TRUE,TRUE
5,AD_142,4,FALSE,TRUE,FALSE
6,AD_103,1,TRUE,FALSE,TRUE
6,AD_291,1,TRUE,FALSE,FALSE
6,AD_112,1,TRUE,FALSE,FALSE
6,AD_306,1,TRUE,FALSE,FALSE
7,AD_116,4,FALSE,TRUE,TRUE
7,AD_104,4,FALSE,TRUE,TRUE
7,AD_230,4,FALSE,TRUE,TRUE
7,AD_64,4,FALSE,TRUE,TRUE
7,AD_186,4,FALSE,TRUE,TRUE
7,AD_312,4,FALSE,TRUE,TRUE
8,AD_4,3,FALSE,FALSE,TRUE
8,AD_285,3,FALSE,FALSE,FALSE
8,AD_91,3,FALSE,FALSE,TRUE
8,AD_105,3,FALSE,FALSE,TRUE
9,AD_316,4,FALSE,TRUE,FALSE
9,AD_68,4,FALSE,TRUE,TRUE
9,AD_156,4,FALSE,TRUE,TRUE
9,AD_58,4,FALSE,TRUE,TRUE
9,AD_154,4,FALSE,TRUE,FALSE
9,AD_199,4,FALSE,TRUE,TRUE
9,AD_307,4,FALSE,TRUE,FALSE
9,AD_165,4,FALSE,TRUE,FALSE
9,AD_106,4,FALSE,TRUE,FALSE
10,AD_107,3,FALSE,FALSE,FALSE
10,AD_23,3,FALSE,FALSE,FALSE
10,AD_70,3,FALSE,FALSE,FALSE
10,AD_191,3,FALSE,FALSE,TRUE
11,AD_133,2,TRUE,TRUE,FALSE
11,AD_174,2,TRUE,TRUE,FALSE
11,AD_109,2,TRUE,TRUE,TRUE
12,AD_236,3,FALSE,FALSE,TRUE
12,AD_75,3,FALSE,FALSE,FALSE
12,AD_11,3,FALSE,FALSE,FALSE
12,AD_197,3,FALSE,FALSE,TRUE
12,AD_238,3,FALSE,FALSE,TRUE
12,AD_210,3,FALSE,FALSE,TRUE
13,AD_211,2,TRUE,TRUE,TRUE
13,AD_110,2,TRUE,TRUE,FALSE
14,AD_338,1,TRUE,FALSE,FALSE
14,AD_242,1,TRUE,FALSE,TRUE
14,AD_311,1,TRUE,FALSE,TRUE
14,AD_80,1,TRUE,FALSE,FALSE
14,AD_111,1,TRUE,FALSE,TRUE
14,AD_293,1,TRUE,FALSE,TRUE
15,AD_113,4,FALSE,TRUE,TRUE
15,AD_124,4,FALSE,TRUE,TRUE
16,AD_114,3,FALSE,FALSE,FALSE
17,AD_115,3,FALSE,FALSE,TRUE
17,AD_280,3,FALSE,FALSE,FALSE
18,AD_117,3,FALSE,FALSE,TRUE
19,AD_118,3,FALSE,FALSE,TRUE
20,AD_37,2,TRUE,TRUE,FALSE
20,AD_82,2,TRUE,TRUE,FALSE
20,AD_119,2,TRUE,TRUE,TRUE
21,AD_120,2,TRUE,TRUE,FALSE
21,AD_299,2,TRUE,TRUE,FALSE
21,AD_26,2,TRUE,TRUE,TRUE
21,AD_346,2,TRUE,TRUE,FALSE
21,AD_241,2,TRUE,TRUE,FALSE
22,AD_207,3,FALSE,FALSE,FALSE
22,AD_134,3,FALSE,FALSE,TRUE
22,AD_121,3,FALSE,FALSE,FALSE
23,AD_63,4,FALSE,TRUE,TRUE
23,AD_141,4,FALSE,TRUE,FALSE
23,AD_324,4,FALSE,TRUE,FALSE
23,AD_122,4,FALSE,TRUE,FALSE
23,AD_321,4,FALSE,TRUE,FALSE
24,AD_123,2,TRUE,TRUE,FALSE
24,AD_216,2,TRUE,TRUE,FALSE
25,AD_341,1,TRUE,FALSE,FALSE
25,AD_125,1,TRUE,FALSE,FALSE
26,AD_342,3,FALSE,FALSE,TRUE
26,AD_90,3,FALSE,FALSE,TRUE
26,AD_309,3,FALSE,FALSE,FALSE
26,AD_168,3,FALSE,FALSE,FALSE
26,AD_126,3,FALSE,FALSE,FALSE
26,AD_22,3,FALSE,FALSE,FALSE
26,AD_78,3,FALSE,FALSE,TRUE
27,AD_16,1,TRUE,FALSE,TRUE
27,AD_149,1,TRUE,FALSE,FALSE
27,AD_127,1,TRUE,FALSE,FALSE
28,AD_72,4,FALSE,TRUE,FALSE
28,AD_129,4,FALSE,TRUE,FALSE
29,AD_13,3,FALSE,FALSE,TRUE
29,AD_18,3,FALSE,FALSE,TRUE
30,AD_130,1,TRUE,FALSE,FALSE
30,AD_231,1,TRUE,FALSE,TRUE
30,AD_215,1,TRUE,FALSE,TRUE
30,AD_317,1,TRUE,FALSE,TRUE
31,AD_131,4,FALSE,TRUE,FALSE
31,AD_335,4,FALSE,TRUE,TRUE
31,AD_56,4,FALSE,TRUE,FALSE
31,AD_60,4,FALSE,TRUE,TRUE
32,AD_73,2,TRUE,TRUE,FALSE
32,AD_170,2,TRUE,TRUE,FALSE
32,AD_308,2,TRUE,TRUE,TRUE
32,AD_93,2,TRUE,TRUE,TRUE
32,AD_67,2,TRUE,TRUE,FALSE
32,AD_135,2,TRUE,TRUE,FALSE
32,AD_86,2,TRUE,TRUE,TRUE
32,AD_348,2,TRUE,TRUE,TRUE
32,AD_98,2,TRUE,TRUE,TRUE
32,AD_71,2,TRUE,TRUE,FALSE
32,AD_28,2,TRUE,TRUE,TRUE
32,AD_206,2,TRUE,TRUE,TRUE
32,AD_182,2,TRUE,TRUE,TRUE
32,AD_153,2,TRUE,TRUE,TRUE
32,AD_5,2,TRUE,TRUE,TRUE
32,AD_138,2,TRUE,TRUE,FALSE
32,AD_66,2,TRUE,TRUE,TRUE
32,AD_52,2,TRUE,TRUE,FALSE
33,AD_136,4,FALSE,TRUE,TRUE
34,AD_139,2,TRUE,TRUE,FALSE
35,AD_235,4,FALSE,TRUE,FALSE
35,AD_245,4,FALSE,TRUE,TRUE
35,AD_279,4,FALSE,TRUE,FALSE
35,AD_14,4,FALSE,TRUE,TRUE
35,AD_27,4,FALSE,TRUE,FALSE
35,AD_226,4,FALSE,TRUE,FALSE
35,AD_164,4,FALSE,TRUE,TRUE
36,AD_143,3,FALSE,FALSE,TRUE
37,AD_244,1,TRUE,FALSE,FALSE
37,AD_144,1,TRUE,FALSE,TRUE
38,AD_228,4,FALSE,TRUE,FALSE
38,AD_59,4,FALSE,TRUE,FALSE
38,AD_145,4,FALSE,TRUE,TRUE
39,AD_263,4,FALSE,TRUE,TRUE
39,AD_99,4,FALSE,TRUE,TRUE
39,AD_146,4,FALSE,TRUE,FALSE
39,AD_83,4,FALSE,TRUE,FALSE
40,AD_17,3,FALSE,FALSE,TRUE
40,AD_15,3,FALSE,FALSE,TRUE
41,AD_150,2,TRUE,TRUE,FALSE
41,AD_286,2,TRUE,TRUE,TRUE
42,AD_151,1,TRUE,FALSE,TRUE
43,AD_152,2,TRUE,TRUE,TRUE
43,AD_247,2,TRUE,TRUE,FALSE
44,AD_183,2,TRUE,TRUE,TRUE
44,AD_41,2,TRUE,TRUE,TRUE
44,AD_196,2,TRUE,TRUE,FALSE
44,AD_252,2,TRUE,TRUE,FALSE
44,AD_155,2,TRUE,TRUE,TRUE
45,AD_157,1,TRUE,FALSE,FALSE
46,AD_158,4,FALSE,TRUE,TRUE
47,AD_159,1,TRUE,FALSE,TRUE
47,AD_171,1,TRUE,FALSE,TRUE
47,AD_166,1,TRUE,FALSE,TRUE
47,AD_45,1,TRUE,FALSE,FALSE
48,AD_160,4,FALSE,TRUE,TRUE
49,AD_161,2,TRUE,TRUE,FALSE
49,AD_195,2,TRUE,TRUE,TRUE
