"","shop_ID","catchID","midline_specialized.shop","midline_practices_lab","midline_practices_cap","midline_practices_all","midline_received.complaint","midline_received.warning","midline_bag.shows.packaging.date","midline_shelflife","midline_bag.shows.lotnumber","midline_moisture","midline_original.bag.without.damage"
"1","AD_1",1,0,0.203383002192984,0.300588342460571,0.210050437574994,1,0,NA,NA,NA,NA,NA
"2","AD_212",1,0,-0.165408462283627,-0.108802368506563,-0.352739597444408,1,1,NA,NA,NA,NA,NA
"3","AD_313",1,0,-0.191462048843515,-1.00670034328533,-0.722840676630149,1,0,NA,NA,NA,NA,NA
"4","AD_331",1,0,-0.0208445782090493,-0.242651026976101,-0.0954161724879795,1,0,NA,NA,NA,NA,NA
"5","AD_49",1,0,0.537235468285362,NA,NA,0,1,NA,NA,NA,NA,NA
"6","AD_10",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AD_140",2,0,0.144953742564379,0.300588342460571,0.193998415391289,0,0,1,NA,0,13,1
"8","AD_147",2,0,-0.0256637280700867,0.300588342460571,0.178305199357404,1,1,1,371,0,11.7,1
"9","AD_203",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","AD_339",2,0,-0.156946624848129,-0.550466510244967,-0.329119680155105,0,0,1,384,0,13,1
"11","AD_100",3,0,0.059645007247146,NA,NA,0,1,1,172,1,12.5,1
"12","AD_108",3,0,0.343127736406525,0.177828995015508,0.306931730652392,0,0,1,167,1,15.3,1
"13","AD_128",3,0,-0.323497833519286,0.553177800055213,0.0259063679047802,0,0,0,181,0,13.9,1
"14","AD_137",3,0,0.343880624304254,0.553177800055213,0.30194531942121,0,0,1,15,0,12.7,1
"15","AD_148",3,0,-0.196281198704552,-0.361391826101205,-0.250427004885565,0,1,NA,NA,NA,NA,NA
"16","AD_246",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AD_249",3,0,-0.0256637280700867,0.177828995015508,0.0919633999890725,0,1,1,34,0,11.9,1
"18","AD_264",3,0,0.428436471723757,0.553177800055213,0.466337421890667,0,0,1,158,0,12.7,1
"19","AD_296",3,0,0.343880624304254,-0.108802368506563,-0.111093668787874,0,0,0,181,0,12.8,1
"20","AD_329",3,0,0.173263153669788,-0.904631195537877,-0.410289979284026,0,0,1,341,0,14.4,1
"21","AD_47",3,0,-1.02614176408828,-0.73674063114091,-1.10026559190072,1,1,1,189,1,12.5,0
"22","AD_57",3,0,0.424370209760449,0.300588342460571,0.300010204821269,0,0,1,158,0,13.5,1
"23","AD_94",3,0,0.343127736406525,NA,NA,0,0,1,15,0,13.1,1
"24","AD_101",4,0,-0.106153313526282,-0.242651026976101,-0.103262780504922,1,0,NA,NA,NA,NA,NA
"25","AD_227",4,0,-0.276770784160748,0.385287235658245,0.0978203705355251,0,0,NA,NA,NA,NA,NA
