"date","q1","q2","q3","id.agro","hh.maize.district","hh.maize.q6","hh.maize.q6a","hh.maize.q6b","hh.maize.q6c","hh.maize.q6d","hh.maize.q6e","hh.maize.other_q6e","hh.maize.q6f","hh.maize.q6g","hh.maize.q7","hh.maize.q8","hh.maize.q9","hh.maize.q10","hh.maize.q11","hh.maize.q12","hh.maize.q13","hh.maize.q14","hh.maize.q15","hh.maize.q15a","hh.maize.q16","hh.maize.q16a","hh.maize.q17.a","hh.maize.q17.b","hh.maize.q17.c","hh.maize.q17.d","hh.maize.q17.e","hh.maize.q17.96","hh.maize.other_q17","hh.maize.q18.a","hh.maize.q18.b","hh.maize.q18.c","hh.maize.q18.d","hh.maize.q18.e","hh.maize.q18.f","hh.maize.q18.g","hh.maize.q18.h","hh.maize.q18.96","hh.maize.Other_q18","hh.maize.q19","hh.maize.seed.1..q20","hh.maize.seed.1..q21","hh.maize.seed.1..seed_num","hh.maize.seed.1..q22","hh.maize.seed.2..q20","hh.maize.seed.2..q21","hh.maize.seed.2..seed_num","hh.maize.seed.2..q22","hh.maize.seed.3..q20","hh.maize.seed.3..q21","hh.maize.seed.3..seed_num","hh.maize.seed.3..q22","hh.maize.seed_calc1","hh.maize.seed_calc2","hh.maize.seed_select","hh.maize.seed_select_name","hh.maize.seed_select_price","hh.maize.order","hh.maize.sell.q23","hh.maize.sell.q24","hh.maize.sell.q25","hh.maize.sell.q26","hh.maize.sell.q27","hh.maize.sell.q28","hh.maize.sell.q29","hh.maize.sell.q30","hh.maize.sell.q30b","hh.maize.sell.q31","hh.maize.sell.other_q31","hh.maize.sell.q32","hh.maize.sell.q33","hh.maize.sell.q33a","hh.maize.sell.q33b","hh.maize.sell.q34","hh.maize.sell.q34b","hh.maize.q35","hh.maize.opv.1..q38","hh.maize.opv.1..opv_num","hh.maize.opv.1..q36","hh.maize.opv.1..q37","hh.maize.opv.2..q38","hh.maize.opv.2..opv_num","hh.maize.opv.2..q36","hh.maize.opv.2..q37","hh.maize.opv.3..q38","hh.maize.opv.3..opv_num","hh.maize.opv.3..q36","hh.maize.opv.3..q37","hh.maize.opv_calc1","hh.maize.opv_calc2","hh.maize.opv_select","hh.maize.opv_select_name","hh.maize.opv_select_price","hh.maize.order1","hh.maize.op.q39","hh.maize.op.q40","hh.maize.op.q41","hh.maize.op.q42","hh.maize.op.q43","hh.maize.op.q44","hh.maize.op.q45","hh.maize.op.q46","hh.maize.op.q46b","hh.maize.op.q47","hh.maize.op.other_q47","hh.maize.op.q48","hh.maize.op.q49","hh.maize.op.q49a","hh.maize.op.q49b","hh.maize.op.q50","hh.maize.op.q50b","hh.maize.q51","hh.maize.be.q51a","hh.maize.be.bean.1..bean_num","hh.maize.be.bean.1..q54","hh.maize.be.bean.1..q53","hh.maize.be.bean.1..q52","hh.maize.be.bean.2..bean_num","hh.maize.be.bean.2..q54","hh.maize.be.bean.2..q53","hh.maize.be.bean.2..q52","hh.maize.be.bean.3..bean_num","hh.maize.be.bean.3..q54","hh.maize.be.bean.3..q53","hh.maize.be.bean.3..q52","hh.maize.be.bean_calc1","hh.maize.be.bean_calc2","hh.maize.be.bean_select","hh.maize.be.bean_select_name","hh.maize.be.bean_select_price","hh.maize.be.order2","hh.maize.be.sale.q55","hh.maize.be.sale.q55b","hh.maize.be.sale.q56","hh.maize.be.sale.q57","hh.maize.be.sale.q58","hh.maize.be.sale.q59","hh.maize.be.sale.q60","hh.maize.be.sale.q61","hh.maize.be.sale.q62","hh.maize.be.sale.q62b","hh.maize.be.sale.q63","hh.maize.be.sale.other_q63","hh.maize.be.sale.q64","hh.maize.be.sale.q65","hh.maize.be.sale.q65a","hh.maize.be.sale.q65b","hh.maize.be.sale.q66","hh.maize.be.sale.q66b","hh.maize.q67","hh.maize.q68","hh.maize.q68a","hh.maize.q68b","hh.maize.q69","hh.maize.other_q69","hh.maize.q70","hh.maize.q70b.a","hh.maize.q70b.b","hh.maize.q70b.c","hh.maize.q70b.d","hh.maize.q70b.e","hh.maize.q70b.f","hh.maize.q70b.g","hh.maize.q70b.96","hh.maize.inst.q71a","hh.maize.inst.q71b","hh.maize.inst.q71c","hh.maize.inst.q71d","hh.maize.inst.q71e","hh.maize.inst.q71f","hh.maize.q72","hh.maize.q73","hh.maize.q74","hh.maize.other_q74","hh.maize.q75.a","hh.maize.q75.b","hh.maize.q75.c","hh.maize.q75.d","hh.maize.q75.e","hh.maize.q75.f","hh.maize.q75.g","hh.maize.q75.h","hh.maize.q75.i","hh.maize.q75.96","hh.maize.other_q75","hh.maize.q76.a","hh.maize.q76.b","hh.maize.q76.c","hh.maize.q76.d","hh.maize.q76.e","hh.maize.q76.f","hh.maize.q76.g","hh.maize.q76.h","hh.maize.q76.i","hh.maize.q76.96","hh.maize.other_76","hh.maize.q77","hh.maize.q77b.a","hh.maize.q77b.b","hh.maize.q77b.c","hh.maize.q77b.d","hh.maize.q77b.e","hh.maize.q77b.f","hh.maize.q77b.96","hh.maize.other_q77b","hh.maize.q78","hh.maize.other_q78","hh.maize.q79","hh.maize.q80","hh.maize.q81","hh.maize.q82","hh.maize.q83","vilID","parID","subID","distID"
"7/25/2019","Yes","Yes","n/a","AS001","BUGIRI","b",20,0.5,0,1,1,"n/a","n/a",28,"Male","a","c","No","No","1/1/2018","No","Yes","No","n/a","No","n/a",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"n/a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,"Longe_10H","6500","1","20","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2.135143853,2.635143853,3,"n/a","n/a",0.448181403,"Yes","a","20","0","0","0","2","No","n/a","a","n/a","6000","No","n/a","n/a","No","No",1,"30","1","Longe 5","3000","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.227332546,0.727332546,1,"Longe 5","3000",0.983109781,"Yes","a","30","0","0","0","2","Yes","1","a","n/a","2600","No","n/a","n/a","No","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,1,"n/a","n/a","96","I have never received any complaint","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","98","No","No","Yes","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","96","n/a",5,3,5,3,5,5,1,1,1
"7/25/2019","Yes","Yes","n/a","AS002","BUGIRI","b",20,0,0,1,1,"n/a","n/a",38,"Male","a","c","No","No","1/1/2010","No","Yes","No","n/a","No","n/a",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"n/a",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",2,"Longe_10H","13000","1","80","Longe_7H","12000","2","170","n/a","n/a","n/a","n/a",2.553091133,3.053091133,3,"n/a","n/a",0.719523758,"Yes","a","600","0","0","0","2","No","n/a","a","n/a","11000","No","n/a","n/a","Yes","No",2,"10","1","Longe 4","8000","180","2","Longe 5","9000","n/a","n/a","n/a","n/a",0.942404623,1.442404623,1,"Longe 4","8000",0.595934913,"Yes","a","40","0","0","0","1","Yes","1","a","n/a","6000","No","n/a","n/a","No","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,2,"n/a","n/a","c","n/a","Yes","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","No","Yes","No","No","No","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"High levels of transport,capital,droughtness","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a",5,3,5,3,5,1,1,1,1
"7/25/2019","Yes","Yes","n/a","AS003","BUGIRI","b",5,0.1,0.25,3,1,"n/a","n/a",57,"Male","a","b","No","No","1/1/2014","No","Yes","No","n/a","No","n/a",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,"Longe_10H","2500","1","50","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.235365551,0.735365551,1,"Longe_10H","2500",0.675509602,"Yes","a","50","4","10","0","1","Yes","1","a","n/a","5000","Yes","3","5","No","No",1,"100","1","Longe 5","2500","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.418274729,0.918274729,1,"Longe 5","2500",0.04738046,"Yes","a","150","0","50","0","1","Yes","1","a","n/a","2500","Yes","3","2","No","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,1,"n/a","n/a","d","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","No","Yes","No","98","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","f","n/a",4,4,4,3,4,3,1,1,1
"7/25/2019","Yes","Yes","n/a","AS004","BUGIRI","b",0.2,0.1,999,999,1,"n/a","n/a",23,"Male","e","f","Yes","Yes","1/1/2019","No","No","No","n/a","No","n/a",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"n/a",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.940082585,1.440082585,1,"n/a","n/a",0.856960374,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.939010122,1.439010122,1,"n/a","n/a",0.63184378,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,2,"n/a","n/a","d","n/a","Yes","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","No","No","No","No","No","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"High prices for seeds and pesticides, high transportation prices","Yes","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Busitema University","96","n/a",5,5,5,3,5,1,2,1,1
"7/25/2019","No","n/a","Yes","AS005","BUGIRI","b",20,0.1,999,0,96,"Wife","Yes",30,"Female","a","b","No","No","1/1/2006","Yes","Yes","No","n/a","No","n/a",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"n/a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,"Longe_10H","6000","1","999","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.813584633,1.313584633,1,"Longe_10H","6000",0.54888825,"Yes","a","300","20","10","50","2","Yes","1","a","n/a","2500","No","n/a","n/a","No","No",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0.5,1,"n/a","n/a",0.013035584,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,3,"n/a","n/a","e","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","98","No","No","No","Yes","f","96","Sub county officials","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","n/a",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"Drought expensive transport drugs to srop weavils in store 
Farmers complaint over kayongo
Market from the farmers over selling price of maize
Packed non dry maize which scarces customers 
Poor soils especially ober fertility wca re s customers to buy improved seed","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","f","n/a",5,5,5,3,5,2,1,1,1
"7/25/2019","Yes","Yes","n/a","AS006","BUGIRI","b",11,5,5,2,1,"n/a","n/a",32,"Male","a","b","No","No","1/1/2017","No","Yes","No","n/a","No","n/a",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,"Longe_10H","4000","1","100","Longe_7R/Kayongo-go","2500","2","40","n/a","n/a","n/a","n/a",2.961756357,3.461756357,3,"n/a","n/a",0.153872474,"Yes","a","150","0","7","43","1","Yes","2","a","n/a","3500","Yes","2","1","Yes","Yes",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0,0.5,1,"n/a","n/a",0.3486874,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,1,"n/a","n/a","96","Never happened","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","Yes","No","No","No","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","Yes","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Women organizations","c","n/a",3,4,3,4,4,4,1,1,1
"7/23/2019","No","n/a","Yes","AS007","BUGIRI","d",0.1,0.2,0.1,7,5,"n/a","No",35,"Male","a","d","Yes","No","1/1/2014","Yes","Yes","No","n/a","Yes","1",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"n/a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",3,"Longe_10H","10000","1","100","Longe_7H","10000","2","50","KH_series","15000","3","30",1.282815258,1.782815258,2,"Longe_7H","10000",0.292025151,"Yes","a","50","0","0","0","2","No","n/a","b","n/a","9000","Yes","999","999","Yes","Yes",1,"200","1","Longe 5","3000","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.50714515,1.00714515,1,"Longe 5","3000",0.236291914,"Yes","a","200","0","0","0","2","No","n/a","b","n/a","2300","Yes","999","999","Yes","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,2,"n/a","n/a","d","n/a","Yes","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Yes","Yes","Yes","Yes","Yes","No","Yes","d","c","n/a","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","n/a",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"n/a","Yes","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","n/a","b","n/a",2,4,4,5,5,1,1,2,1
"7/23/2019","No","n/a","Yes","AS008","BUGIRI","d",0.1,0.1,0.2,5,5,"n/a","Yes",21,"Male","e","d","Yes","Yes","1/1/2018","Yes","Yes","98","n/a","No","n/a",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"n/a",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",0,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.892127384,1.392127384,1,"n/a","n/a",0.347587643,"n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",1,"999","1","Longe 5","3000","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.108090338,0.608090338,1,"Longe 5","3000",0.631745724,"Yes","a","999","0","0","0","10","No","n/a","96","Doesnot know where the boss gets it from but I read some packages have Crown seeds","999","No","n/a","n/a","Yes","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,1,"n/a","n/a","96","Not yet happened","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","98","Yes","Yes","No","No","98","Yes","b","c","n/a","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Still new so no challenges yet","Yes","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","n/a","a","n/a",5,4,5,4,4,2,1,3,1
"7/23/2019","No","n/a","Yes","AS009","BUGIRI","d",0.1,0.1,0.4,7,5,"n/a","Yes",999,"Female","a","g","Yes","No","1/1/2014","Yes","Yes","Yes","MAAIF","Yes","4",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"n/a",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,"Longe_10H","6000","1","999","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2.053814489,2.553814489,3,"n/a","n/a",0.337791683,"Yes","a","999","0","999","0","2","No","n/a","b","n/a","999","Yes","999","30","Yes","Yes",2,"999","1","Longe 4","3000","999","2","Longe 5","3000","n/a","n/a","n/a","n/a",0.080723985,0.580723985,1,"Longe 4","3000",0.545574532,"Yes","a","999","0","999","0","1","No","n/a","b","n/a","999","Yes","999","999","Yes","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",3,2,"n/a","n/a","96","Gets new seed and they return complaint to supplier","Yes","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Yes","Yes","Yes","Yes","No","98","Yes","c","c","n/a","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","n/a",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","Yes","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","n/a","a","n/a",5,4,4,4,4,1,1,3,1
"7/24/2019","Yes","Yes","n/a","AS010","BUGIRI","b",3,0,0,1,1,"n/a","n/a",30,"Female","a","a","No","No","1/1/2016","No","Yes","No","n/a","No","n/a",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,"n/a",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a",1,"Longe_10H","6500","1","100","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2.07174144,2.57174144,3,"n/a","n/a",0.12652302,"Yes","a","100","0","0","0","2","No","n/a","a","n/a","6000","No","n/a","n/a","Yes","No",1,"30","1","Longe 5","4000","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",0.395852937,0.895852937,1,"Longe 5","4000",0.211952837,"Yes","a","30","0","0","0","2","No","n/a","a","n/a","3500","No","n/a","n/a","Yes","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",2,1,"n/a","n/a","c","n/a","Yes","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","Yes","Yes","No","No","No","No","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","c","n/a",4,3,5,2,5,1,2,4,1
